"Story","Title","Result","Date","Stability","Duration (s)"
"Login","A valid email and an invalid password","SUCCESS","2021-04-10T20:04:22.236-05:00[America/Bogota]","0.0","27.11"
"Login","An email only","SUCCESS","2021-04-10T20:04:49.764-05:00[America/Bogota]","0.0","28.02"
"Login","A password only","SUCCESS","2021-04-10T20:05:17.8-05:00[America/Bogota]","0.0","25.65"
"Login","An invalid email and a valid password","SUCCESS","2021-04-10T20:05:43.462-05:00[America/Bogota]","0.0","26.82"
"Login","An invalid email and an invalid password","SUCCESS","2021-04-10T20:06:10.295-05:00[America/Bogota]","0.0","30.29"
"Login","A valid email and a valid password","SUCCESS","2021-04-10T20:06:40.582-05:00[America/Bogota]","0.0","30.0"
